Module,Header pin,Net
U1,3V3,LOGIC_3V3
U1,5V,LOGIC_5V
U1,A0,LINE_L_A0
U1,A1,LINE_C_A1
U1,A2,LINE_R_A2
U1,A3,ESTOP_A3
U1,A4,SDA_5V
U1,A5,SCL_5V
U1,D10,BIN2_D10
U1,D11,TRIG_D11
U1,D12,ECHO_D12
U1,D13,FOG_D13
U1,D2,ENC_L_D2
U1,D3,ENC_R_D3
U1,D4,STBY_D4
U1,D5,PWM_L_D5
U1,D6,PWM_R_D6
U1,D7,AIN1_D7
U1,D8,AIN2_D8
U1,D9,BIN1_D9
U1,GND,GND
U1,USB1,USB_VBUS
U1,USB2,USB_DM
U1,USB3,USB_DP
U10,AD0,GND
U10,GND,GND
U10,INT,unconnected-(U10-INT_unused-PadINT)
U10,SCL,SCL_3V3
U10,SDA,SDA_3V3
U10,VCC,LOGIC_3V3
U2,AIN1,AIN1_D7
U2,AIN2,AIN2_D8
U2,AO1,MOTOR_L1
U2,AO2,MOTOR_L2
U2,BIN1,BIN1_D9
U2,BIN2,BIN2_D10
U2,BO1,MOTOR_R1
U2,BO2,MOTOR_R2
U2,GND,GND
U2,PWMA,PWM_L_D5
U2,PWMB,PWM_R_D6
U2,STBY,STBY_D4
U2,VCC,LOGIC_5V
U2,VMOT,VMOT
U3,1,LOGIC_5V
U3,2,TRIG_D11
U3,3,ECHO_D12
U3,4,GND
U4,1,LOGIC_5V
U4,2,GND
U4,3,LINE_L_A0
U5,1,LOGIC_5V
U5,2,GND
U5,3,LINE_C_A1
U6,1,LOGIC_5V
U6,2,GND
U6,3,LINE_R_A2
U7,1,LOGIC_5V
U7,2,GND
U7,3,ENC_L_D2
U8,1,LOGIC_5V
U8,2,GND
U8,3,ENC_R_D3
U9,DM,USB_DM
U9,DP,USB_DP
U9,GND,GND
U9,PWR,PI_5V
U9,VBUS,USB_VBUS
